children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose,age_range,debt_name,children_range,income_range,purpose_classified,creditworthy
1,352.0,42,masters degree,0,married,0,F,employee,0,253875.6394525987,purchase of the house,40-50,no deudor,con hijos,27000+,real estate,0
1,168.0,36,secondary education,1,married,0,F,employee,0,112080.01410244204,car purchase,30-40,no deudor,con hijos,27000+,car,0
0,234.0,33,secondary education,1,married,0,M,employee,0,145885.95229686378,purchase of the house,30-40,no deudor,sin hijos,27000+,real estate,0
3,172.0,32,secondary education,1,married,0,M,employee,0,267628.5503294142,supplementary education,30-40,no deudor,con hijos,27000+,education,0
0,14178.0,53,secondary education,1,civil partnership,1,F,retiree,0,158616.07787006293,to have a wedding,50-60,no deudor,sin hijos,27000+,wedding,0
0,39.0,27,masters degree,0,civil partnership,1,M,partner,0,255763.56541904988,purchase of the house,20-30,no deudor,sin hijos,27000+,real estate,0
0,120.0,43,masters degree,0,married,0,F,partner,0,240525.9719203061,housing transactions,40-50,no deudor,sin hijos,27000+,real estate,0
0,6.0,50,secondary education,1,married,0,M,employee,0,135823.93419727974,education,50-60,no deudor,sin hijos,27000+,education,0
2,289.0,35,masters degree,0,civil partnership,1,F,employee,0,95856.83242386371,having a wedding,30-40,no deudor,con hijos,27000+,wedding,0
0,91.0,41,secondary education,1,married,0,M,employee,0,144425.93827708642,purchase of the house for my family,40-50,no deudor,sin hijos,27000+,real estate,0
2,174.0,36,masters degree,0,married,0,M,partner,0,113943.4914603043,buy real estate,30-40,no deudor,con hijos,27000+,real estate,0
0,33.0,40,secondary education,1,married,0,F,employee,0,77069.23427130934,buy commercial real estate,40-50,no deudor,sin hijos,27000+,real estate,0
0,77.0,54,bachelor degree,2,married,0,F,employee,0,130458.22885695784,car purchase,50-60,no deudor,sin hijos,27000+,car,0
0,77.0,56,masters degree,0,civil partnership,1,F,partner,1,165127.9117721805,buy residential real estate,50-60,deudor,sin hijos,27000+,real estate,1
1,40.0,26,secondary education,1,married,0,F,employee,0,116820.90444993383,construction of own property,20-30,no deudor,con hijos,27000+,real estate,0
0,72.0,35,secondary education,1,married,0,F,employee,0,289202.7042292056,property,30-40,no deudor,sin hijos,27000+,real estate,0
0,99.0,33,masters degree,0,civil partnership,1,M,employee,0,90410.58674466488,building a property,30-40,no deudor,sin hijos,27000+,real estate,0
0,16678.0,53,secondary education,1,widow / widower,2,F,retiree,0,56823.7772431838,buying a second-hand car,50-60,no deudor,sin hijos,27000+,car,0
0,418.0,48,secondary education,1,divorced,3,F,employee,0,242831.107981772,buying my own car,40-50,no deudor,sin hijos,27000+,car,0
1,55.0,36,secondary education,1,married,0,M,employee,0,209552.64457761557,property,30-40,no deudor,con hijos,27000+,real estate,0
1,11.0,33,secondary education,1,civil partnership,1,F,employee,0,131812.20390893804,car purchase,30-40,no deudor,con hijos,27000+,car,0
1,74.0,24,secondary education,1,civil partnership,1,F,employee,0,149681.1407311689,buying a second-hand car,20-30,no deudor,con hijos,27000+,car,0
0,11.0,21,masters degree,0,civil partnership,1,M,employee,0,128265.72087100228,to have a wedding,20-30,no deudor,sin hijos,27000+,wedding,0
1,14106.0,57,secondary education,1,unmarried,4,F,retiree,0,290547.2359974949,transactions with the residential real estate,50-60,no deudor,con hijos,27000+,real estate,0
0,15148.0,67,secondary education,1,married,0,M,retiree,0,55112.757731719255,buy real estate,60+,no deudor,sin hijos,27000+,real estate,0
0,22.0,28,masters degree,0,married,0,M,employee,0,308848.9836905699,construction of own property,20-30,no deudor,sin hijos,27000+,real estate,0
1,30.0,26,masters degree,0,married,0,F,employee,0,187863.2373059588,construction of own property,20-30,no deudor,con hijos,27000+,real estate,0
1,13983.0,62,secondary education,1,married,0,F,retiree,0,171456.06799338743,transactions with the residential real estate,60+,no deudor,con hijos,27000+,real estate,0
0,70.0,47,primary education,3,married,0,F,employee,0,275485.684538057,housing,40-50,no deudor,sin hijos,27000+,real estate,0
0,194.0,34,secondary education,1,civil partnership,1,F,employee,1,139057.46420747985,having a wedding,30-40,deudor,sin hijos,27000+,wedding,1
0,64.0,48,secondary education,1,married,0,F,partner,0,157245.78623254097,purchase of the house,40-50,no deudor,sin hijos,27000+,real estate,0
0,187.0,35,secondary education,1,married,0,F,employee,0,104660.44920263148,transactions with my real estate,30-40,no deudor,sin hijos,27000+,real estate,0
0,16418.0,68,secondary education,1,civil partnership,1,M,retiree,0,77805.67743642293,having a wedding,60+,no deudor,sin hijos,27000+,wedding,0
0,7.0,33,secondary education,1,unmarried,4,M,employee,0,138830.65073407194,cars,30-40,no deudor,sin hijos,27000+,car,0
0,269.0,43,masters degree,0,civil partnership,1,F,partner,0,154128.87867164516,car purchase,40-50,no deudor,sin hijos,27000+,car,0
0,25.0,25,masters degree,0,unmarried,4,M,employee,1,192247.29863931693,education,20-30,deudor,sin hijos,27000+,education,1
0,27.0,31,masters degree,0,civil partnership,1,F,partner,0,754240.7972479195,to become educated,30-40,no deudor,sin hijos,27000+,education,0
0,43.0,30,secondary education,1,unmarried,4,M,partner,0,142865.57914588266,buy real estate,30-40,no deudor,sin hijos,27000+,real estate,0
0,52.0,20,bachelor degree,2,unmarried,4,F,employee,0,82065.08902109257,getting an education,20-30,no deudor,sin hijos,27000+,education,0
0,182.0,43,bachelor degree,2,divorced,3,F,partner,0,272957.1335085173,car purchase,40-50,no deudor,sin hijos,27000+,car,0
1,57.0,26,secondary education,1,married,0,F,employee,0,100780.496748708,buying my own car,20-30,no deudor,con hijos,27000+,car,0
1,43.0,49,secondary education,1,unmarried,4,F,employee,0,106385.91972360344,to become educated,40-50,no deudor,con hijos,27000+,education,0
2,94.0,37,secondary education,1,married,0,F,partner,0,182682.4598984296,second-hand car purchase,30-40,no deudor,con hijos,27000+,car,0
1,112.0,33,masters degree,0,civil partnership,1,M,civil servant,0,356277.90934547666,having a wedding,30-40,no deudor,con hijos,27000+,wedding,0
0,139.0,45,secondary education,1,married,0,F,employee,0,162065.5164499865,construction of own property,40-50,no deudor,sin hijos,27000+,real estate,0
0,49.0,54,secondary education,1,married,0,F,employee,0,44591.80688753629,car,50-60,no deudor,sin hijos,27000+,car,0
0,14739.0,63,secondary education,1,married,0,F,retiree,0,92342.73061169684,cars,60+,no deudor,sin hijos,27000+,car,0
1,290.0,50,masters degree,0,civil partnership,1,F,employee,0,203199.6835687721,wedding ceremony,50-60,no deudor,con hijos,27000+,wedding,0
1,148.0,28,secondary education,1,married,0,F,employee,0,52746.4223236867,to get asupplementary education,20-30,no deudor,con hijos,27000+,education,0
0,176.0,61,secondary education,1,divorced,3,F,partner,0,311453.5995296128,purchase of my own house,60+,no deudor,sin hijos,27000+,real estate,0
0,145.0,27,masters degree,0,civil partnership,1,F,employee,0,92238.81311104933,cars,20-30,no deudor,sin hijos,27000+,car,0
0,15423.0,64,secondary education,1,widow / widower,2,F,retiree,0,149141.04353267475,education,60+,no deudor,sin hijos,27000+,education,0
0,101.0,44,secondary education,1,widow / widower,2,F,employee,0,58616.40596004223,education,40-50,no deudor,sin hijos,27000+,education,0
0,14.0,36,masters degree,0,married,0,M,employee,0,414404.2028972774,property,30-40,no deudor,sin hijos,27000+,real estate,0
0,181.0,53,secondary education,1,civil partnership,1,F,partner,0,261369.5064850721,real estate transactions,50-60,no deudor,sin hijos,27000+,real estate,0
1,106.0,48,secondary education,1,married,0,M,employee,0,129902.28373544553,to become educated,40-50,no deudor,con hijos,27000+,education,0
0,124.0,42,secondary education,1,civil partnership,1,F,employee,0,173987.4729290881,buy real estate,40-50,no deudor,sin hijos,27000+,real estate,0
0,327.0,48,masters degree,0,unmarried,4,M,civil servant,0,435388.1952724901,getting higher education,40-50,no deudor,sin hijos,27000+,education,0
0,49.0,45,secondary education,1,married,0,F,employee,0,110004.35982164997,housing transactions,40-50,no deudor,sin hijos,27000+,real estate,0
0,5.0,35,bachelor degree,2,unmarried,4,M,employee,0,282900.4713076374,second-hand car purchase,30-40,no deudor,sin hijos,27000+,car,0
0,38.0,28,secondary education,1,married,0,M,employee,0,145214.52360210626,to become educated,20-30,no deudor,sin hijos,27000+,education,0
2,90.0,46,masters degree,0,married,0,M,partner,0,592071.4645709557,transactions with the residential real estate,40-50,no deudor,con hijos,27000+,real estate,0
0,32.0,23,secondary education,1,unmarried,4,F,employee,0,91247.05816440449,purchase of my own house,20-30,no deudor,sin hijos,27000+,real estate,0
1,117.0,28,masters degree,0,married,0,M,civil servant,0,207561.4669982881,buy commercial real estate,20-30,no deudor,con hijos,27000+,real estate,0
0,14088.0,62,secondary education,1,married,0,F,retiree,0,43929.69639696845,cars,60+,no deudor,sin hijos,27000+,car,0
0,68.0,40,secondary education,1,civil partnership,1,M,employee,0,97946.84101113868,to become educated,40-50,no deudor,sin hijos,27000+,education,0
1,213.0,45,secondary education,1,married,0,F,employee,0,81142.78348993426,purchase of the house for my family,40-50,no deudor,con hijos,27000+,real estate,0
1,123.0,38,secondary education,1,married,0,M,employee,1,81935.38150009303,real estate transactions,30-40,deudor,con hijos,27000+,real estate,1
