children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose,age_range,debt_name,children_range,income_range,purpose_classified,creditworthy
0,77.0,56,masters degree,0,civil partnership,1,F,partner,1,165127.9117721805,buy residential real estate,50-60,deudor,sin hijos,27000+,real estate,1
0,194.0,34,secondary education,1,civil partnership,1,F,employee,1,139057.46420747985,having a wedding,30-40,deudor,sin hijos,27000+,wedding,1
0,25.0,25,masters degree,0,unmarried,4,M,employee,1,192247.29863931693,education,20-30,deudor,sin hijos,27000+,education,1
1,123.0,38,secondary education,1,married,0,M,employee,1,81935.38150009303,real estate transactions,30-40,deudor,con hijos,27000+,real estate,1
1,60.0,32,secondary education,1,married,0,M,employee,1,331139.5902983196,purchase of a car,30-40,deudor,con hijos,27000+,car,1
0,25.0,49,secondary education,1,widow / widower,2,F,employee,1,176384.8825358073,real estate transactions,40-50,deudor,sin hijos,27000+,real estate,1
0,67.0,26,masters degree,0,married,0,F,employee,1,143471.7122774315,transactions with my real estate,20-30,deudor,sin hijos,27000+,real estate,1
0,45.0,38,secondary education,1,married,0,F,employee,1,175046.42251455868,transactions with the residential real estate,30-40,deudor,sin hijos,27000+,real estate,1
0,240.0,47,secondary education,1,married,0,F,civil servant,1,74535.09733065074,real estate transactions,40-50,deudor,sin hijos,27000+,real estate,1
1,6.0,20,secondary education,1,married,0,M,partner,1,134750.74951489054,housing,20-30,deudor,con hijos,27000+,real estate,1
0,14517.0,38,secondary education,1,married,0,F,retiree,1,113560.65003534064,purchase of a car,30-40,deudor,sin hijos,27000+,car,1
2,98.0,27,masters degree,0,married,0,F,employee,1,369587.0876962028,buying my own car,20-30,deudor,con hijos,27000+,car,1
1,7.0,35,masters degree,0,civil partnership,1,M,partner,1,272193.00295690284,to get asupplementary education,30-40,deudor,con hijos,27000+,education,1
0,209.0,32,secondary education,1,civil partnership,1,M,employee,1,160905.70703999972,to get asupplementary education,30-40,deudor,sin hijos,27000+,education,1
1,66.0,38,secondary education,1,married,0,F,employee,1,90960.94119189213,buy residential real estate,30-40,deudor,con hijos,27000+,real estate,1
1,29.0,38,masters degree,0,civil partnership,1,M,employee,1,231389.8327944069,to buy a car,30-40,deudor,con hijos,27000+,car,1
1,122.0,34,secondary education,1,married,0,F,employee,1,213214.0924519784,buying my own car,30-40,deudor,con hijos,27000+,car,1
1,85.0,28,secondary education,1,civil partnership,1,M,partner,1,188585.6447572717,wedding ceremony,20-30,deudor,con hijos,27000+,wedding,1
1,6.0,41,secondary education,1,married,0,F,employee,1,112090.59753315602,purchase of the house for my family,40-50,deudor,con hijos,27000+,real estate,1
2,6.0,37,secondary education,1,married,0,F,employee,1,80334.09573086095,buying a second-hand car,30-40,deudor,con hijos,27000+,car,1
0,231.0,35,primary education,3,civil partnership,1,M,employee,1,123814.07946812904,to become educated,30-40,deudor,sin hijos,27000+,education,1
0,37.0,50,secondary education,1,married,0,M,partner,1,81863.1143896799,going to university,50-60,deudor,sin hijos,27000+,education,1
0,58.0,47,secondary education,1,married,0,M,employee,1,143042.6143061349,purchase of my own house,40-50,deudor,sin hijos,27000+,real estate,1
0,20.0,45,secondary education,1,married,0,F,employee,1,143383.36617576444,building a property,40-50,deudor,sin hijos,27000+,real estate,1
0,35.0,53,secondary education,1,married,0,M,employee,1,174396.10218061123,building a property,50-60,deudor,sin hijos,27000+,real estate,1
2,308.0,36,secondary education,1,divorced,3,F,employee,1,45033.203066728005,property,30-40,deudor,con hijos,27000+,real estate,1
0,22.0,35,secondary education,1,married,0,M,partner,1,325440.9009907523,supplementary education,30-40,deudor,sin hijos,27000+,education,1
1,14.0,26,secondary education,1,married,0,F,employee,1,239515.0266404945,real estate transactions,20-30,deudor,con hijos,27000+,real estate,1
0,60.0,30,masters degree,0,divorced,3,F,employee,1,353864.02781779494,transactions with the residential real estate,30-40,deudor,sin hijos,27000+,real estate,1
0,104.0,33,secondary education,1,civil partnership,1,F,employee,1,63511.02868227579,buying a second-hand car,30-40,deudor,sin hijos,27000+,car,1
0,296.0,50,secondary education,1,married,0,F,employee,1,506773.98575342726,housing,50-60,deudor,sin hijos,27000+,real estate,1
0,190.0,53,secondary education,1,divorced,3,F,employee,1,136159.9260376908,buying my own car,50-60,deudor,sin hijos,27000+,car,1
1,15.0,22,masters degree,0,married,0,M,employee,1,168110.28725291538,buy residential real estate,20-30,deudor,con hijos,27000+,real estate,1
1,31.0,23,secondary education,1,civil partnership,1,M,employee,1,148479.46070049153,transactions with the residential real estate,20-30,deudor,con hijos,27000+,real estate,1
0,39.0,45,secondary education,1,civil partnership,1,M,employee,1,128850.81805232384,transactions with the residential real estate,40-50,deudor,sin hijos,27000+,real estate,1
0,18.0,53,masters degree,0,married,0,M,partner,1,350085.54348381324,buying a second-hand car,50-60,deudor,sin hijos,27000+,car,1
0,7.0,31,secondary education,1,civil partnership,1,M,employee,1,153155.88801828356,purchase of a car,30-40,deudor,sin hijos,27000+,car,1
0,187.0,54,secondary education,1,married,0,F,employee,1,152176.86260762706,housing,50-60,deudor,sin hijos,27000+,real estate,1
0,28.0,40,secondary education,1,married,0,F,employee,1,57542.70998010514,transactions with the residential real estate,40-50,deudor,sin hijos,27000+,real estate,1
0,129.0,47,secondary education,1,married,0,M,employee,1,92370.74026660454,transactions with my real estate,40-50,deudor,sin hijos,27000+,real estate,1
1,54.0,35,secondary education,1,civil partnership,1,F,employee,1,113083.1084321247,to become educated,30-40,deudor,con hijos,27000+,education,1
0,48.0,56,bachelor degree,2,married,0,M,partner,1,284892.57321059075,to buy a car,50-60,deudor,sin hijos,27000+,car,1
1,58.0,28,primary education,3,married,0,M,employee,1,186807.0228486878,car purchase,20-30,deudor,con hijos,27000+,car,1
1,33.0,29,secondary education,1,unmarried,4,F,employee,1,184471.27623725,housing transactions,20-30,deudor,con hijos,27000+,real estate,1
1,54.0,37,secondary education,1,civil partnership,1,M,partner,1,179356.74035792728,having a wedding,30-40,deudor,con hijos,27000+,wedding,1
0,14555.0,51,secondary education,1,civil partnership,1,F,retiree,1,224352.0737953284,to have a wedding,50-60,deudor,sin hijos,27000+,wedding,1
1,29.0,32,secondary education,1,unmarried,4,M,employee,1,290130.3387917438,property,30-40,deudor,con hijos,27000+,real estate,1
0,10.0,30,masters degree,0,unmarried,4,M,employee,1,256087.1008601969,building a property,30-40,deudor,sin hijos,27000+,real estate,1
2,20.0,29,secondary education,1,married,0,F,employee,1,75843.91782120355,to get asupplementary education,20-30,deudor,con hijos,27000+,education,1
1,127.0,31,bachelor degree,2,civil partnership,1,F,employee,1,293895.5530026953,real estate transactions,30-40,deudor,con hijos,27000+,real estate,1
0,204.0,41,masters degree,0,civil partnership,1,F,civil servant,1,92015.57918092582,second-hand car purchase,40-50,deudor,sin hijos,27000+,car,1
0,55.0,36,masters degree,0,married,0,F,partner,1,233773.31941667583,buy residential real estate,30-40,deudor,sin hijos,27000+,real estate,1
1,57.0,26,secondary education,1,unmarried,4,F,employee,1,57173.670256981306,construction of own property,20-30,deudor,con hijos,27000+,real estate,1
1,81.0,26,secondary education,1,married,0,M,employee,1,166965.38218142293,transactions with the residential real estate,20-30,deudor,con hijos,27000+,real estate,1
0,16.0,29,masters degree,0,married,0,M,employee,1,267159.2656348473,supplementary education,20-30,deudor,sin hijos,27000+,education,1
0,56.0,27,secondary education,1,married,0,F,partner,1,150427.14303696094,buy real estate,20-30,deudor,sin hijos,27000+,real estate,1
0,58.0,32,masters degree,0,married,0,M,employee,1,126059.96487104196,university education,30-40,deudor,sin hijos,27000+,education,1
1,16146.0,46,secondary education,1,married,0,M,retiree,1,157436.07580210298,transactions with my real estate,40-50,deudor,con hijos,27000+,real estate,1
1,11.0,42,secondary education,1,married,0,F,employee,1,281249.73619103327,construction of own property,40-50,deudor,con hijos,27000+,real estate,1
0,14580.0,65,secondary education,1,married,0,F,retiree,1,53701.791302186335,real estate transactions,60+,deudor,sin hijos,27000+,real estate,1
0,27.0,33,masters degree,0,civil partnership,1,M,employee,1,232933.91870185945,to have a wedding,30-40,deudor,sin hijos,27000+,wedding,1
1,330.0,71,secondary education,1,married,0,M,employee,1,231613.31065860324,building a property,60+,deudor,con hijos,27000+,real estate,1
2,12.0,30,secondary education,1,married,0,M,partner,1,135773.05473309694,transactions with the residential real estate,30-40,deudor,con hijos,27000+,real estate,1
0,4.0,37,secondary education,1,unmarried,4,M,employee,1,352456.8928739261,property renovation,30-40,deudor,sin hijos,27000+,real estate,1
0,104.0,39,secondary education,1,married,0,F,partner,1,370688.0196560532,buying my own car,30-40,deudor,sin hijos,27000+,car,1
0,41.0,26,masters degree,0,married,0,F,partner,1,150274.97956684712,second-hand car purchase,20-30,deudor,sin hijos,27000+,car,1
1,33.0,30,secondary education,1,unmarried,4,M,employee,1,231549.1767587529,buy commercial real estate,30-40,deudor,con hijos,27000+,real estate,1
3,28.0,34,masters degree,0,married,0,F,partner,1,302993.1471841526,purchase of the house,30-40,deudor,con hijos,27000+,real estate,1
1,12.0,50,secondary education,1,married,0,M,employee,1,200384.1276653584,transactions with the residential real estate,50-60,deudor,con hijos,27000+,real estate,1
2,108.0,38,secondary education,1,married,0,F,employee,1,120918.79176076676,buy real estate,30-40,deudor,con hijos,27000+,real estate,1
1,58.0,39,secondary education,1,civil partnership,1,M,employee,1,155248.18475389478,to have a wedding,30-40,deudor,con hijos,27000+,wedding,1
1,88.0,42,secondary education,1,married,0,F,civil servant,1,79147.66334414804,buying property for renting out,40-50,deudor,con hijos,27000+,real estate,1
0,194.0,44,secondary education,1,divorced,3,F,civil servant,1,251523.98049116056,purchase of the house for my family,40-50,deudor,sin hijos,27000+,real estate,1
0,102.0,52,secondary education,1,married,0,M,employee,1,260691.40121782155,transactions with the residential real estate,50-60,deudor,sin hijos,27000+,real estate,1
2,138.0,56,secondary education,1,married,0,F,employee,1,229518.5370040327,getting an education,50-60,deudor,con hijos,27000+,education,1
0,5.0,55,masters degree,0,widow / widower,2,M,employee,1,64086.10152766397,to buy a car,50-60,deudor,sin hijos,27000+,car,1
0,12.0,52,secondary education,1,unmarried,4,F,employee,1,123405.90502570962,cars,50-60,deudor,sin hijos,27000+,car,1
0,29.0,60,secondary education,1,civil partnership,1,F,employee,1,157631.5956178791,profile education,60+,deudor,sin hijos,27000+,education,1
2,92.0,39,secondary education,1,civil partnership,1,F,employee,1,99918.50781653285,wedding ceremony,30-40,deudor,con hijos,27000+,wedding,1
2,136.0,35,secondary education,1,married,0,F,partner,1,106840.61640763516,second-hand car purchase,30-40,deudor,con hijos,27000+,car,1
0,36.0,38,secondary education,1,married,0,M,employee,1,219014.0005551708,going to university,30-40,deudor,sin hijos,27000+,education,1
1,85.0,42,secondary education,1,unmarried,4,M,employee,1,166158.44734724035,to own a car,40-50,deudor,con hijos,27000+,car,1
1,28.0,41,masters degree,0,married,0,M,partner,1,125377.5871051716,second-hand car purchase,40-50,deudor,con hijos,27000+,car,1
2,80.0,39,secondary education,1,married,0,F,employee,1,115312.22790896242,transactions with the residential real estate,30-40,deudor,con hijos,27000+,real estate,1
1,60.0,48,masters degree,0,civil partnership,1,F,partner,1,173040.14649933678,having a wedding,40-50,deudor,con hijos,27000+,wedding,1
1,336.0,40,primary education,3,married,0,F,employee,1,131629.33195152506,housing transactions,40-50,deudor,con hijos,27000+,real estate,1
2,23.0,33,secondary education,1,married,0,M,employee,1,132103.30120076958,to own a car,30-40,deudor,con hijos,27000+,car,1
0,16343.0,68,secondary education,1,widow / widower,2,F,retiree,1,165914.83143564133,housing transactions,60+,deudor,sin hijos,27000+,real estate,1
0,60.0,42,secondary education,1,married,0,M,employee,1,135588.19617663533,buy commercial real estate,40-50,deudor,sin hijos,27000+,real estate,1
0,98.0,27,masters degree,0,unmarried,4,F,employee,1,184398.58801686327,transactions with the residential real estate,20-30,deudor,sin hijos,27000+,real estate,1
0,69.0,53,secondary education,1,married,0,F,partner,1,124517.82869056714,to own a car,50-60,deudor,sin hijos,27000+,car,1
0,167.0,47,secondary education,1,married,0,F,civil servant,1,70937.63572670176,transactions with the residential real estate,40-50,deudor,sin hijos,27000+,real estate,1
0,59.0,24,secondary education,1,unmarried,4,M,employee,1,109151.25392098194,buying my own car,20-30,deudor,sin hijos,27000+,car,1
1,26.0,55,secondary education,1,married,0,M,employee,1,135718.9961075527,to buy a car,50-60,deudor,con hijos,27000+,car,1
0,126.0,40,secondary education,1,married,0,M,employee,1,334840.40920604486,buy commercial real estate,40-50,deudor,sin hijos,27000+,real estate,1
0,129.0,52,secondary education,1,married,0,M,employee,1,467580.9282640107,transactions with my real estate,50-60,deudor,sin hijos,27000+,real estate,1
0,5.0,25,secondary education,1,civil partnership,1,F,employee,1,110437.53460984172,university education,20-30,deudor,sin hijos,27000+,education,1
0,102.0,33,masters degree,0,married,0,F,employee,1,88386.56623406056,university education,30-40,deudor,sin hijos,27000+,education,1
2,72.0,37,secondary education,1,married,0,M,employee,1,142943.6928090667,to buy a car,30-40,deudor,con hijos,27000+,car,1
0,110.0,35,primary education,3,married,0,M,employee,1,191833.36246839128,transactions with my real estate,30-40,deudor,sin hijos,27000+,real estate,1
2,98.0,39,bachelor degree,2,civil partnership,1,F,employee,1,116591.21886190116,getting an education,30-40,deudor,con hijos,27000+,education,1
0,11.0,26,secondary education,1,married,0,M,employee,1,126414.2600150972,housing transactions,20-30,deudor,sin hijos,27000+,real estate,1
0,49.0,23,secondary education,1,unmarried,4,M,employee,1,188968.751545185,purchase of a car,20-30,deudor,sin hijos,27000+,car,1
2,6.0,47,bachelor degree,2,married,0,M,employee,1,296257.2227558771,getting higher education,40-50,deudor,con hijos,27000+,education,1
0,22.0,26,secondary education,1,unmarried,4,F,employee,1,182282.57047730449,second-hand car purchase,20-30,deudor,sin hijos,27000+,car,1
